"Laps","Time","Cumulative Time","Distancekm","Avg Pacemin/km","Avg GAPmin/km","Avg HRbpm","Max HRbpm","Total Ascentm","Total Descentm","Avg PowerW","Avg W/kg","Max PowerW","Max W/kg","Avg Run Cadencespm","Avg Ground Contact Timems","Avg GCT Balance%","Avg Stride Lengthm","Avg Vertical Oscillationcm","Avg Vertical Ratio%","CaloriesC","Avg Temperature","Best Pacemin/km","Max Run Cadencespm","Moving Time","Avg Moving Pacemin/km","Avg Step Speed Losscm/s","Avg Step Speed Loss Percent%"
"1","5:45.9","5:45.9","1.00","5:45","5:45","134","154","","","","","","","","","","","","","77","","5:45","","5:45.9","5:45","",""
"2","5:30.2","11:16.2","1.00","5:30","5:30","151","157","","","","","","","","","","","","","84","","5:30","","5:30.2","5:30","",""
"3","5:34.8","16:51.0","1.00","5:34","5:34","159","175","","","","","","","","","","","","","88","","5:34","","5:34.8","5:34","",""
"4","5:40.6","22:31.6","1.00","5:40","5:40","162","168","","","","","","","","","","","","","87","","5:40","","5:40.6","5:40","",""
"5","5:32.3","28:03.9","1.00","5:32","5:32","158","163","","","","","","","","","","","","","85","","5:32","","5:32.3","5:32","",""
"6","5:36.6","33:40.5","1.00","5:36","5:36","159","169","","","","","","","","","","","","","83","","5:36","","5:36.6","5:36","",""
"7","5:26.6","39:07.1","1.00","5:26","5:26","165","174","","","","","","","","","","","","","85","","5:26","","5:26.6","5:26","",""
"8","0:57.6","40:04.8","0.19","5:09","5:09","172","173","","","","","","","","","","","","","15","","5:09","","0:57.6","5:09","",""
"Summary","40:04.8","40:04.8","7.19","5:34","5:34","157","175","","","","","","","","","","","","","604","","","","40:04.8","5:34","",""
