"Laps","Time","Cumulative Time","Distancekm","Avg Pacemin/km","Avg GAPmin/km","Avg HRbpm","Max HRbpm","Total Ascentm","Total Descentm","Avg PowerW","Avg W/kg","Max PowerW","Max W/kg","Avg Run Cadencespm","Avg Ground Contact Timems","Avg GCT Balance%","Avg Stride Lengthm","Avg Vertical Oscillationcm","Avg Vertical Ratio%","CaloriesC","Avg Temperature","Best Pacemin/km","Max Run Cadencespm","Moving Time","Avg Moving Pacemin/km","Avg Step Speed Losscm/s","Avg Step Speed Loss Percent%"
"1","6:05.4","6:05.4","1.00","6:05","6:05","123","146","","","","","","","","","","","","","75","","6:05","","6:05.4","6:05","",""
"2","5:50.2","11:55.6","1.00","5:50","5:50","136","141","","","","","","","","","","","","","79","","5:50","","5:50.2","5:50","",""
"3","5:58.6","17:54.2","1.00","5:58","5:58","146","154","","","","","","","","","","","","","83","","5:58","","5:58.6","5:58","",""
"4","5:55.4","23:49.6","1.00","5:55","5:55","147","156","","","","","","","","","","","","","82","","5:55","","5:55.4","5:55","",""
"5","6:01.6","29:51.2","1.00","6:01","6:01","150","156","","","","","","","","","","","","","84","","6:01","","6:01.6","6:01","",""
"6","6:06.4","35:57.6","1.00","6:06","6:06","158","166","","","","","","","","","","","","","88","","6:06","","6:06.4","6:06","",""
"7","5:52.0","41:49.6","1.00","5:51","5:51","158","161","","","","","","","","","","","","","84","","5:51","","5:52.0","5:51","",""
"8","6:04.0","47:53.5","1.00","6:03","6:03","162","167","","","","","","","","","","","","","90","","6:03","","6:04.0","6:03","",""
"9","5:54.5","53:48.0","1.00","5:54","5:54","166","172","","","","","","","","","","","","","90","","5:54","","5:54.5","5:54","",""
"10","0:35.6","54:23.6","0.10","6:06","6:06","171","172","","","","","","","","","","","","","9","","6:06","","0:35.6","6:06","",""
"Summary","54:23.6","54:23.6","9.10","5:58","5:58","151","172","","","","","","","","","","","","","764","","","","54:23.6","5:58","",""
