"Laps","Time","Cumulative Time","Distancekm","Avg Pacemin/km","Avg GAPmin/km","Avg HRbpm","Max HRbpm","Total Ascentm","Total Descentm","Avg PowerW","Avg W/kg","Max PowerW","Max W/kg","Avg Run Cadencespm","Avg Ground Contact Timems","Avg GCT Balance%","Avg Stride Lengthm","Avg Vertical Oscillationcm","Avg Vertical Ratio%","CaloriesC","Avg Temperature","Best Pacemin/km","Max Run Cadencespm","Moving Time","Avg Moving Pacemin/km","Avg Step Speed Losscm/s","Avg Step Speed Loss Percent%"
"1","5:43.7","5:43.7","1.00","5:43","5:43","131","149","","","","","","","","","","","","","75","","5:43","","5:43.7","5:43","",""
"2","5:34.9","11:18.5","1.00","5:34","5:34","147","155","","","","","","","","","","","","","82","","5:34","","5:34.9","5:34","",""
"3","5:36.5","16:55.0","1.00","5:36","5:36","150","163","","","","","","","","","","","","","82","","5:36","","5:36.5","5:36","",""
"4","5:41.6","22:36.6","1.00","5:41","5:41","157","168","","","","","","","","","","","","","86","","5:41","","5:41.6","5:41","",""
"5","5:41.5","28:18.1","1.00","5:41","5:41","163","172","","","","","","","","","","","","","88","","5:41","","5:41.5","5:41","",""
"6","5:51.2","34:09.3","1.00","5:51","5:51","162","169","","","","","","","","","","","","","88","","5:51","","5:51.2","5:51","",""
"7","5:50.5","39:59.8","1.00","5:50","5:50","165","171","","","","","","","","","","","","","90","","5:50","","5:50.5","5:50","",""
"8","3:38.6","43:38.3","0.63","5:46","5:46","167","172","","","","","","","","","","","","","56","","5:46","","3:38.6","5:46","",""
"Summary","43:38.3","43:38.3","7.63","5:43","5:43","155","172","","","","","","","","","","","","","647","","","","43:38.3","5:43","",""
