"Laps","Time","Cumulative Time","Distancekm","Avg Pacemin/km","Avg GAPmin/km","Avg HRbpm","Max HRbpm","Total Ascentm","Total Descentm","Avg PowerW","Avg W/kg","Max PowerW","Max W/kg","Avg Run Cadencespm","Avg Ground Contact Timems","Avg GCT Balance%","Avg Stride Lengthm","Avg Vertical Oscillationcm","Avg Vertical Ratio%","CaloriesC","Avg Temperature","Best Pacemin/km","Max Run Cadencespm","Moving Time","Avg Moving Pacemin/km","Avg Step Speed Losscm/s","Avg Step Speed Loss Percent%"
"1","6:05.6","6:05.6","1.00","6:05","6:05","133","143","","","","","","","","","","","","","78","","6:05","","6:05.6","6:05","",""
"2","6:09.8","12:15.5","1.00","6:09","6:09","141","148","","","","","","","","","","","","","82","","6:09","","6:09.8","6:09","",""
"3","6:11.2","18:26.7","1.00","6:11","6:11","147","152","","","","","","","","","","","","","86","","6:11","","6:11.2","6:11","",""
"4","5:55.2","24:21.9","1.00","5:55","5:55","145","153","","","","","","","","","","","","","82","","5:55","","5:55.2","5:55","",""
"5","5:44.0","30:06.0","1.00","5:44","5:44","146","150","","","","","","","","","","","","","80","","5:44","","5:44.0","5:44","",""
"6","5:45.6","35:51.5","1.00","5:45","5:45","152","157","","","","","","","","","","","","","84","","5:45","","5:45.6","5:45","",""
"7","0:00.3","35:51.8","0.00","3:01","3:01","154","154","","","","","","","","","","","","","0","","3:01","","0:00.3","3:01","",""
"Summary","35:51.8","35:51.8","6.00","5:58","5:58","145","157","","","","","","","","","","","","","492","","","","35:51.8","5:58","",""
